args,ppl_mean,ppl_std,exit_points_mean,exit_points_std
"{'ee_softmax_threshold': [0.9204158782958984, 0.8594600558280945, 0.8127722144126892, 0.7770126461982727, 0.7496234178543091, 0.7286451458930969, 0.7125773429870605, 0.7002704739570618, 0.6908443570137024, 0.6836245656013489, 0.678094744682312, 0.6738592982292175, 0.6706152558326721, 0.6681305170059204, 0.666227400302887]}",7.2192,3.6523,8.3759,5.4257
"{'ee_softmax_threshold': [0.9180751442909241, 0.8553265333175659, 0.8072655200958252, 0.7704542279243469, 0.7422593832015991, 0.7206641435623169, 0.7041237354278564, 0.6914549469947815, 0.681751549243927, 0.6743194460868835, 0.6686269640922546, 0.6642669439315796, 0.6609274744987488, 0.6583696603775024, 0.6564105749130249]}",7.3032,3.663,8.3047,5.4128
"{'ee_softmax_threshold': [0.9157344102859497, 0.8511929512023926, 0.8017587661743164, 0.7638957500457764, 0.7348953485488892, 0.7126830816268921, 0.6956700682640076, 0.6826393008232117, 0.6726586818695068, 0.6650142073631287, 0.6591591238975525, 0.6546745300292969, 0.6512396335601807, 0.6486087441444397, 0.6465936899185181]}",7.3924,3.7195,8.1916,5.3841
"{'ee_softmax_threshold': [0.9133937358856201, 0.847059428691864, 0.7962520718574524, 0.7573372721672058, 0.7275313138961792, 0.7047020196914673, 0.6872164607048035, 0.6738237142562866, 0.6635658740997314, 0.6557090878486633, 0.6496912837028503, 0.6450821161270142, 0.6415518522262573, 0.6388478875160217, 0.636776864528656]}",7.4093,3.7109,8.1423,5.3661
"{'ee_softmax_threshold': [0.911052942276001, 0.8429259061813354, 0.7907453775405884, 0.7507787942886353, 0.7201672792434692, 0.6967210173606873, 0.6787628531455994, 0.6650081276893616, 0.654473066329956, 0.6464039087295532, 0.640223503112793, 0.6354897618293762, 0.631864070892334, 0.6290870308876038, 0.626960039138794]}",7.4423,3.7948,8.0785,5.3416
"{'ee_softmax_threshold': [0.9087122678756714, 0.8387923240661621, 0.7852386832237244, 0.7442203760147095, 0.7128032445907593, 0.6887399554252625, 0.6703092455863953, 0.6561926007270813, 0.6453802585601807, 0.6370987296104431, 0.6307557225227356, 0.6258974075317383, 0.6221762895584106, 0.6193261742591858, 0.6171432137489319]}",7.4633,3.7473,8.0237,5.3195
"{'ee_softmax_threshold': [0.9063715934753418, 0.8346588015556335, 0.7797319889068604, 0.7376618981361389, 0.7054392099380493, 0.6807589530944824, 0.6618556380271912, 0.6473770141601562, 0.6362874507904053, 0.6277936100959778, 0.6212879419326782, 0.6163050532341003, 0.6124885082244873, 0.6095653176307678, 0.607326328754425]}",7.4993,3.7201,7.958,5.3063
"{'ee_softmax_threshold': [0.9040307998657227, 0.830525279045105, 0.7742252349853516, 0.7311034202575684, 0.6980752348899841, 0.6727779507637024, 0.6534020304679871, 0.6385614275932312, 0.6271946430206299, 0.6184884309768677, 0.6118201017379761, 0.6067126989364624, 0.602800726890564, 0.5998044610023499, 0.597509503364563]}",7.6983,3.9583,7.8723,5.2695
"{'ee_softmax_threshold': [0.9016901254653931, 0.8263917565345764, 0.7687185406684875, 0.7245450019836426, 0.6907112002372742, 0.6647968888282776, 0.644948422908783, 0.6297458410263062, 0.6181017756462097, 0.6091832518577576, 0.6023523211479187, 0.5971202850341797, 0.5931129455566406, 0.5900436043739319, 0.5876926779747009]}",7.8187,3.9315,7.7299,5.217
"{'ee_softmax_threshold': [0.8993493914604187, 0.8222582340240479, 0.7632118463516235, 0.717986524105072, 0.6833471655845642, 0.6568158864974976, 0.6364947557449341, 0.6209302544593811, 0.6090089678764343, 0.5998781323432922, 0.5928845405578613, 0.5875279307365417, 0.5834251642227173, 0.5802827477455139, 0.5778758525848389]}",7.9051,3.9936,7.6916,5.2028
"{'ee_softmax_threshold': [0.8970086574554443, 0.8181246519088745, 0.7577050924301147, 0.7114280462265015, 0.6759830713272095, 0.6488348245620728, 0.62804114818573, 0.612114667892456, 0.5999161005020142, 0.5905728936195374, 0.5834166407585144, 0.577935516834259, 0.5737373232841492, 0.5705218315124512, 0.568058967590332]}",8.1476,4.3127,7.5803,5.168
"{'ee_softmax_threshold': [0.8946679830551147, 0.813991129398346, 0.7521983981132507, 0.7048695683479309, 0.6686190962791443, 0.640853762626648, 0.6195875406265259, 0.603299081325531, 0.5908232927322388, 0.581267774105072, 0.573948860168457, 0.5683431625366211, 0.5640495419502258, 0.5607609748840332, 0.55824214220047]}",8.1292,4.3233,7.5219,5.1338
"{'ee_softmax_threshold': [0.8923272490501404, 0.8098576068878174, 0.7466917037963867, 0.6983111500740051, 0.6612550616264343, 0.6328727006912231, 0.6111339330673218, 0.594483494758606, 0.5817304849624634, 0.5719625949859619, 0.5644810795783997, 0.5587507486343384, 0.5543617606163025, 0.5510000586509705, 0.5484253168106079]}",8.1561,4.3729,7.4799,5.1288
"{'ee_softmax_threshold': [0.889986515045166, 0.805724024772644, 0.7411850094795227, 0.6917526721954346, 0.6538910269737244, 0.6248916983604431, 0.6026803255081177, 0.5856679677963257, 0.572637677192688, 0.5626574158668518, 0.5550132989883423, 0.5491583943367004, 0.5446739792823792, 0.5412392020225525, 0.5386084318161011]}",8.7149,5.783,7.4051,5.0997
"{'ee_softmax_threshold': [0.8876457810401917, 0.8015904426574707, 0.7356782555580139, 0.6851941347122192, 0.6465269327163696, 0.6169106364250183, 0.5942266583442688, 0.5768523216247559, 0.5635448098182678, 0.5533522367477417, 0.5455453991889954, 0.5395659804344177, 0.534986138343811, 0.5314782857894897, 0.5287915468215942]}",8.6845,5.7822,7.3449,5.081
"{'ee_softmax_threshold': [0.8853050470352173, 0.7974569797515869, 0.7301715612411499, 0.6786357164382935, 0.6391629576683044, 0.6089296340942383, 0.5857730507850647, 0.5680367350578308, 0.5544520020484924, 0.5440470576286316, 0.536077618598938, 0.5299736261367798, 0.5252983570098877, 0.5217174291610718, 0.5189747214317322]}",8.8263,5.9179,7.2755,5.0687
"{'ee_softmax_threshold': [0.8829643726348877, 0.7933233976364136, 0.7246648073196411, 0.6720772385597229, 0.6317989230155945, 0.6009485721588135, 0.5773194432258606, 0.5592211484909058, 0.545359194278717, 0.5347418785095215, 0.5266098380088806, 0.5203812122344971, 0.5156105756759644, 0.5119565725326538, 0.5091578960418701]}",8.9829,5.99,7.2172,5.0535
